distance,spectrumID,i
13.78225,spec-3586-55181-0001.fits,4133
13.78419,spec-3586-55181-0020.fits,1500
13.78467,spec-3586-55181-0002.fits,2996
13.7874,spec-3586-55181-0034.fits,4401
13.78864,spec-3586-55181-0023.fits,2818
13.78881,spec-3586-55181-0069.fits,3335
13.78903,spec-3586-55181-0025.fits,2469
13.79146,spec-3586-55181-0036.fits,3539
13.7916,spec-3586-55181-0027.fits,3937
13.79415,spec-3586-55181-0016.fits,2212
13.79485,spec-3586-55181-0042.fits,3047
13.79543,spec-3586-55181-0059.fits,1696
13.79647,spec-3586-55181-0087.fits,2156
13.79806,spec-3586-55181-0003.fits,2960
13.79896,spec-3586-55181-0057.fits,3193
13.79947,spec-3586-55181-0021.fits,2846
13.80385,spec-3586-55181-0018.fits,1028
13.8041,spec-3586-55181-0052.fits,3796
13.80451,spec-3586-55181-0010.fits,2756
13.80463,spec-3586-55181-0009.fits,2611
13.80554,spec-3586-55181-0091.fits,3643
13.80582,spec-3586-55181-0056.fits,4161
13.80857,spec-3586-55181-0075.fits,797
13.81173,spec-3586-55181-0097.fits,1713
13.81441,spec-3586-55181-0096.fits,1972
13.81492,spec-3586-55181-0068.fits,3574
13.81935,spec-3586-55181-0015.fits,3028
13.82016,spec-3586-55181-0095.fits,2110
13.82067,spec-3586-55181-0084.fits,3038
13.82079,spec-3586-55181-0073.fits,3068
13.82081,spec-3586-55181-0063.fits,2978
13.82185,spec-3586-55181-0062.fits,2313
13.82389,spec-3586-55181-0067.fits,1399
13.8241,spec-3586-55181-0031.fits,3329
13.82688,spec-3586-55181-0039.fits,2805
13.82741,spec-3586-55181-0011.fits,2547
13.82846,spec-3586-55181-0049.fits,2568
13.83258,spec-3586-55181-0006.fits,1921
13.83274,spec-3586-55181-0043.fits,4215
13.83288,spec-3586-55181-0089.fits,2458
13.8357,spec-3586-55181-0064.fits,1734
13.83644,spec-3586-55181-0066.fits,3507
13.83693,spec-3586-55181-0044.fits,985
13.8444,spec-3586-55181-0088.fits,3266
13.84475,spec-3586-55181-0054.fits,3573
13.84679,spec-3586-55181-0071.fits,2393
13.85041,spec-3586-55181-0076.fits,3569
13.85054,spec-3586-55181-0005.fits,4030
13.85217,spec-3586-55181-0086.fits,3819
13.86126,spec-3586-55181-0040.fits,2909
13.8618,spec-3586-55181-0085.fits,2958
13.86756,spec-3586-55181-0030.fits,1722
13.87325,spec-3586-55181-0081.fits,2265
13.8875,spec-3586-55181-0070.fits,867
13.89489,spec-3586-55181-0082.fits,148
13.89663,spec-3586-55181-0077.fits,1264
13.89907,spec-3586-55181-0053.fits,4416
13.90098,spec-3586-55181-0041.fits,1534
13.90769,spec-3586-55181-0045.fits,1792
13.91169,spec-3586-55181-0090.fits,3074
13.91719,spec-3586-55181-0055.fits,1152
13.92284,spec-3586-55181-0093.fits,2822
13.92384,spec-3586-55181-0019.fits,2036
13.93052,spec-3586-55181-0032.fits,1523
13.93866,spec-3586-55181-0058.fits,1042
13.9463,spec-3586-55181-0051.fits,2116
13.94884,spec-3586-55181-0094.fits,3906
13.96771,spec-3586-55181-0065.fits,3961
13.97153,spec-3586-55181-0007.fits,1227
13.977,spec-3586-55181-0060.fits,1219
13.98172,spec-3586-55181-0013.fits,1971
13.99315,spec-3586-55181-0098.fits,1053
13.9992,spec-3586-55181-0008.fits,2343
14.01194,spec-3586-55181-0033.fits,1211
14.02504,spec-3586-55181-0079.fits,2392
14.05334,spec-3586-55181-0035.fits,259
14.05752,spec-3586-55181-0078.fits,954
14.11143,spec-3586-55181-0017.fits,2050
14.12523,spec-3586-55181-0038.fits,4340
14.14428,spec-3586-55181-0080.fits,4383
14.29578,spec-3586-55181-0074.fits,528
14.29597,spec-3586-55181-0014.fits,387
14.30757,spec-3586-55181-0047.fits,4368
14.34342,spec-3586-55181-0024.fits,385
14.44649,spec-3586-55181-0037.fits,4513
14.55744,spec-3586-55181-0029.fits,432
14.58936,spec-3586-55181-0050.fits,467
14.82993,spec-3586-55181-0083.fits,3916
15.34964,spec-3586-55181-0028.fits,381
15.36448,spec-3586-55181-0099.fits,4462
15.54447,spec-3586-55181-0012.fits,1010
15.81772,spec-3586-55181-0026.fits,632
16.09942,spec-3586-55181-0048.fits,3781
16.2333,spec-3586-55181-0061.fits,3622
16.32274,spec-3586-55181-0046.fits,4563
16.471,spec-3586-55181-0100.fits,576
17.82758,spec-3586-55181-0092.fits,845
21.12433,spec-3586-55181-0022.fits,327
93.28004,spec-3586-55181-0072.fits,4568
359.4823,spec-3586-55181-0004.fits,4619
